
SCHEDULE_PLAN_ID,SCHEDULE_PLAN_NAME,REPORT_TYPE,DESTINATION_TYPE,CRONTAB,LAST_RUN,NEXT_RUN,CREATE_DATE
147,Intuit_uw_SX-784700-WeightedBRDetailWeekly,WeightedBRDetailWeekly,s3,5 16 * * 0,2024-02-05T00:05:51Z,2024-02-12T00:05:00Z,2020-07-29T18:44:10Z
148,Intuit_uw_MX-784700-WeightedBRDetailWeekly,WeightedBRDetailWeekly,email,5 16 * * 0,2024-02-05T00:05:52Z,2024-02-12T00:05:00Z,2020-07-29T18:44:11Z
149,SkyBet_SX-388700-WeightedBRDetailWeekly,WeightedBRDetailWeekly,s3,30 22 * * 0,2024-02-05T06:31:04Z,2024-02-12T06:30:00Z,2020-07-29T18:44:11Z
150,ReDPlexus_SC-903700-WeightedBRDetailWeekly,WeightedBRDetailWeekly,s3,35 22 * * 0,2024-02-05T06:35:25Z,2024-02-12T06:35:00Z,2020-07-29T18:44:12Z
151,ReDGreen_Mountain_Roasters_SC-786700-WeightedBRDetailWeekly,WeightedBRDetailWeekly,s3,35 22 * * 0,2024-02-05T06:35:26Z,2024-02-12T06:35:00Z,2020-07-29T18:44:12Z
152,ReD_UKVeritrans_SC-922800-WeightedBRDetailWeekly,WeightedBRDetailWeekly,s3,40 22 * * 0,2024-02-05T06:40:41Z,2024-02-12T06:40:00Z,2020-07-29T18:44:13Z
153,ReD_UKTesco_Mobile_SC-920400-WeightedBRDetailWeekly,WeightedBRDetailWeekly,s3,40 22 * * 0,2024-02-05T06:40:41Z,2024-02-12T06:40:00Z,2020-07-29T18:44:13Z
155,ReD_UKO2_SC-892000-WeightedBRDetailWeekly,WeightedBRDetailWeekly,s3,40 22 * * 0,2024-02-05T06:40:41Z,2024-02-12T06:40:00Z,2020-07-29T18:44:14Z
156,ReD_UKNAB_SC-885100-WeightedBRDetailWeekly,WeightedBRDetailWeekly,s3,40 22 * * 0,2024-02-05T06:40:41Z,2024-02-12T06:40:00Z,2020-07-29T18:44:14Z
157,ReD_UKMango_SC-894800-WeightedBRDetailWeekly,WeightedBRDetailWeekly,s3,40 22 * * 0,2024-02-05T06:40:41Z,2024-02-12T06:40:00Z,2020-07-29T18:44:15Z
